Record_ID,Country,Region,Device_Category,Device_Subcategory,Product_Name,Manufacturer,SKU_Code,Launch_Year,Market_Segment,Regulatory_Status,Units_Sold_2022,Units_Sold_2023,Units_Sold_2024,ASP_USD_2022,ASP_USD_2023,ASP_USD_2024,Revenue_2022_USD,Revenue_2023_USD,Revenue_2024_USD,YoY_Growth_2023,YoY_Growth_2024,CAGR_2022_2024,Market_Share_Pct,Competitor_Rank,Clinical_Trials,Patent_Status,Reimbursement_Coverage,Survey_Satisfaction_Score,Data_Quality_Flag
MD-0020,France,Europe,Ophthalmology,OCT Devices,SMIT OCT Pro 846,Smith+Nephew,SKU-OPH-9785,2015,Hospital,FDA Approved,17618,16391,21031,4018.72,3946.08,4016.33,70801808.96,64680197.28,84467436.23,-0.069644682,0.283082179,0.092576006,2.52,15,9,Filed,Pending,5.0,Clean
MD-0021,China,Asia Pacific,Orthopaedics,Knee Implants,DEPU Knee Pro 780,DePuy Synthes,SKU-ORT-8144,2010,Long-Term Care,Conditional Approval,45513,53420,63242,10075.9,10177.31,9950.33,458584436.7,543671900.2,629278769.9,0.173730582,0.183863721,0.178786264,13.1,5,10,Filed,Unknown,4.7,Clean
MD-0022,UK,Europe,Ophthalmology,OCT Devices,EDWA OCT Pro 682,Edwards Lifesciences,SKU-OPH-7592,2021,Outpatient Clinic,Conditional Approval,8841,8278,9513,5718.22,6017.25,5951.92,50554783.02,49810795.5,56620614.96,-0.063680579,0.149190626,0.037308778,5.82,4,8,Filed,Pending,4.7,Review
MD-0023,Australia,Asia Pacific,Diabetes Care,Blood Glucose Meters,SIEM Blood Pro 779,Siemens Healthineers,SKU-DIA-8238,2017,Ambulatory Surgery Center,Conditional Approval,31510,38038,48761,11052.62,11522.06,11536.08,348268056.2,438276118.3,562510796.9,0.207172326,0.281902308,0.243976283,5.93,13,12,Filed,Full,3.5,Clean
MD-0024,Japan,Asia Pacific,Cardiovascular,Pacemakers,STRY Pacemakers Pro 251,Stryker,SKU-CAR-8784,2019,Hospital,Under Review,27660,34540,38306,10789.27,10921.31,11073.79,298431208.2,377222047.4,424192599.7,0.248734635,0.109033005,0.176812612,3.58,12,12,Active,Full,3.9,Clean
MD-0025,Brazil,Latin America,Cardiovascular,Stents,INSU Stents Pro 934,Insulet Corp,SKU-CAR-2988,2017,Ambulatory Surgery Center,Under Review,44250,48188,53079,4793.6,5048.03,5142.34,212116800.0,243254469.6,272950264.9,0.08899435,0.101498298,0.09522848,8.81,5,2,Licensed,Pending,4.5,Clean
MD-0026,UK,Europe,Wound Care,Dressings,SMIT Dressings Pro 336,Smith+Nephew,SKU-WOU-4919,2014,Home Care,FDA Approved,47262,46249,44966,4829.66,4971.73,4898.25,228259390.9,229937540.8,220254709.5,-0.02143371,-0.02774114,-0.024592523,7.76,6,11,Licensed,Partial,3.4,Clean
MD-0027,Brazil,Latin America,Neurology,Deep Brain Stimulators,STRY Deep Pro 955,Stryker,SKU-NEU-7883,2016,Long-Term Care,FDA Approved,38228,39037,33285,5308.79,5589.53,5946.59,202944424.1,218198482.6,197932248.2,0.021162499,-0.147347388,-0.066888607,8.13,1,7,Licensed,Partial,3.4,Review
MD-0028,France,Europe,Ophthalmology,OCT Devices,DEPU OCT Pro 538,DePuy Synthes,SKU-OPH-3704,2023,Home Care,CE Marked,41280,45009,56626,8898.8,9280.83,9088.11,367342464.0,417720877.5,514623316.9,0.090334302,0.258103935,0.17121897,7.13,4,2,Expired,Pending,3.1,Review
MD-0029,France,Europe,Orthopaedics,Trauma Plates,ZIMM Trauma Pro 767,Zimmer Biomet,SKU-ORT-7906,2014,Hospital,Under Review,1770,2101,1835,14281.2,14205.0,13886.07,25277724.0,29844705.0,25480938.45,0.18700565,-0.126606378,0.018196034,0.86,3,3,Active,Full,3.4,Clean
MD-0030,Japan,Asia Pacific,Neurology,Deep Brain Stimulators,PHIL Deep Pro 418,Philips Healthcare,SKU-NEU-4571,2017,Outpatient Clinic,PMDA Approved,11496,12906,16567,10789.44,11388.87,11252.37,124035402.2,146984756.2,186418013.8,0.122651357,0.283666512,0.200462391,16.39,7,4,Active,Full,4.2,Review
MD-0031,China,Asia Pacific,Cardiovascular,Stents,ABBO Stents Pro 449,Abbott,SKU-CAR-5941,2023,Long-Term Care,FDA Approved,37588,45187,45469,6454.25,6523.72,6691.09,242602349.0,294787335.6,304237171.2,0.202165585,0.006240733,0.099849071,17.31,11,7,Active,Pending,3.2,Review
MD-0032,Japan,Asia Pacific,Neurology,EEG Systems,DEPU EEG Pro 351,DePuy Synthes,SKU-NEU-9548,2020,Outpatient Clinic,Conditional Approval,35769,42872,45409,12394.73,12830.68,12900.65,443347097.4,550076913.0,585805615.9,0.198579776,0.059176152,0.126724063,8.63,10,7,Active,Unknown,3.5,Review
MD-0033,France,Europe,Cardiovascular,Defibrillators,HOLO Defibrillators Pro 110,Hologic,SKU-CAR-6325,2012,Home Care,CE Marked,23753,28717,28807,13210.78,13833.41,13838.8,313795657.3,397254035.0,398654311.6,0.208984128,0.003134032,0.101259789,9.05,13,3,Expired,Full,4.4,Clean
MD-0034,Brazil,Latin America,Ophthalmology,OCT Devices,SIEM OCT Pro 535,Siemens Healthineers,SKU-OPH-1282,2011,Outpatient Clinic,CE Marked,27002,31357,30974,8744.26,8937.15,9190.98,236112508.5,280242212.6,284681414.5,0.161284349,-0.012214179,0.071027644,5.87,4,11,Filed,Unknown,3.9,Clean
MD-0035,China,Asia Pacific,Orthopaedics,Knee Implants,DEPU Knee Pro 202,DePuy Synthes,SKU-ORT-9779,2022,Ambulatory Surgery Center,CE Marked,14680,17357,16913,8864.32,9339.65,9672.58,130128217.6,162108305.1,163592345.5,0.182356948,-0.025580457,0.073364671,5.79,12,3,Expired,Unknown,3.7,Clean
MD-0036,Japan,Asia Pacific,Orthopaedics,Knee Implants,MEDT Knee Pro 152,Medtronic,SKU-ORT-5786,2021,Ambulatory Surgery Center,Under Review,7223,8976,9948,7067.48,7197.89,7127.93,51048408.04,64608260.64,70908647.64,0.24269694,0.10828877,0.173570221,7.51,2,1,Filed,Pending,4.6,Clean
MD-0037,USA,North America,Diagnostics,CT Scanners,INTU CT Pro 561,Intuitive Surgical,SKU-DIA-5978,2011,Ambulatory Surgery Center,FDA Approved,37073,44265,49702,11871.58,11810.15,12134.73,440115085.3,522776289.8,603120350.5,0.19399563,0.12282842,0.157865375,5.84,10,9,Licensed,Unknown,5.0,Clean
MD-0038,Australia,Asia Pacific,Ophthalmology,IOLs,INTU IOLs Pro 805,Intuitive Surgical,SKU-OPH-4404,2020,Ambulatory Surgery Center,PMDA Approved,43781,38813,37180,8302.28,8196.17,8318.6,363482120.7,318117946.2,309285548.0,-0.113473881,-0.042073532,-0.078464958,12.87,12,0,Licensed,Unknown,3.5,Review
MD-0039,Germany,Europe,Ophthalmology,Laser Systems,INSU Laser Pro 161,Insulet Corp,SKU-OPH-5334,2022,Long-Term Care,CE Marked,28361,25571,24322,2277.39,2275.61,2242.95,64589057.79,58189623.31,54553029.9,-0.098374528,-0.048844394,-0.073940541,10.46,5,9,Expired,Unknown,4.5,Review
MD-0040,Germany,Europe,Neurology,Neurostents,DEPU Neurostents Pro 126,DePuy Synthes,SKU-NEU-7594,2014,Long-Term Care,Conditional Approval,32861,34405,38503,13346.87,14024.87,14535.49,438591495.1,482525652.4,559659971.5,0.046985789,0.119110594,0.082447638,10.57,1,10,Active,Partial,4.7,Clean
MD-0041,Australia,Asia Pacific,Cardiovascular,Stents,SIEM Stents Pro 518,Siemens Healthineers,SKU-CAR-9502,2020,Home Care,PMDA Approved,12394,16095,16837,12222.96,13159.19,13444.76,151491366.2,211797163.1,226369424.1,0.298612232,0.046101274,0.165538463,3.31,7,10,Filed,Unknown,3.2,Review
MD-0042,UK,Europe,Ophthalmology,OCT Devices,HOLO OCT Pro 773,Hologic,SKU-OPH-1601,2017,Hospital,PMDA Approved,17041,16963,21824,6092.42,6254.51,6746.7,103820929.2,106095253.1,147239980.8,-0.004577196,0.286564876,0.13166957,6.83,13,0,Licensed,Pending,3.4,Review
MD-0043,Brazil,Latin America,Wound Care,Negative Pressure Devices,STRY Negative Pro 826,Stryker,SKU-WOU-5375,2018,Ambulatory Surgery Center,PMDA Approved,29212,36409,38889,481.6,500.53,529.52,14068499.2,18223796.77,20592503.28,0.246371354,0.068115027,0.153805864,7.64,4,8,Expired,Unknown,3.0,Clean
MD-0044,Brazil,Latin America,Cardiovascular,Stents,SIEM Stents Pro 620,Siemens Healthineers,SKU-CAR-5781,2018,Outpatient Clinic,Under Review,32121,41471,39798,8291.41,8392.52,8991.79,266328380.6,348046196.9,357855258.4,0.291086828,-0.040341443,0.113104901,15.45,6,4,Expired,Full,4.5,Clean
MD-0045,UK,Europe,Wound Care,Negative Pressure Devices,ZIMM Negative Pro 656,Zimmer Biomet,SKU-WOU-5891,2023,Long-Term Care,Conditional Approval,43749,46826,42933,8101.78,8166.3,8417.09,354444773.2,382395163.8,361370925.0,0.070333036,-0.083137573,-0.009369824,17.66,4,5,Licensed,Pending,4.7,Clean
MD-0046,India,Asia Pacific,Diagnostics,X-Ray,MEDT X-Ray Pro 229,Medtronic,SKU-DIA-6213,2021,Home Care,Under Review,25802,33408,40309,9797.68,9667.68,10403.69,252799739.4,322977853.4,419362340.2,0.29478335,0.206567289,0.249897291,16.43,1,7,Filed,Full,3.2,Clean
MD-0047,India,Asia Pacific,Wound Care,Skin Substitutes,ABBO Skin Pro 489,Abbott,SKU-WOU-8692,2022,Outpatient Clinic,PMDA Approved,41345,48031,54871,12783.89,13598.96,14476.47,528549932.1,653171647.8,794338385.4,0.16171242,0.142408028,0.152019789,1.7,11,8,Filed,Pending,3.1,Clean
MD-0048,China,Asia Pacific,Ophthalmology,IOLs,BECT IOLs Pro 483,Becton Dickinson,SKU-OPH-2612,2022,Hospital,Under Review,11402,13252,16651,737.56,780.03,781.8,8409659.12,10336957.56,13017751.8,0.162252236,0.256489586,0.20845266,10.4,13,3,Licensed,Partial,4.1,Clean
MD-0049,Japan,Asia Pacific,Diagnostics,MRI Systems,PHIL MRI Pro 923,Philips Healthcare,SKU-DIA-7267,2019,Ambulatory Surgery Center,Under Review,38717,35402,37438,3846.96,3839.6,3728.38,148942750.3,135929519.2,139583090.4,-0.085621303,0.057510875,-0.016656003,1.79,6,10,Licensed,Unknown,4.1,Clean
MD-0050,UK,Europe,Ophthalmology,OCT Devices,DEPU OCT Pro 816,DePuy Synthes,SKU-OPH-5097,2017,Outpatient Clinic,CE Marked,25711,31727,28490,5751.4,5805.95,5820.73,147874245.4,184205375.7,165832597.7,0.233985454,-0.102026665,0.052656655,0.64,14,10,Filed,Full,3.8,Clean
MD-0051,Australia,Asia Pacific,Ophthalmology,OCT Devices,HOLO OCT Pro 797,Hologic,SKU-OPH-5689,2022,Ambulatory Surgery Center,Conditional Approval,23589,22375,20933,3796.87,3998.54,4216.15,89564366.43,89467332.5,88256667.95,-0.051464666,-0.064446927,-0.05797816,5.91,8,10,Expired,Full,4.3,Clean
MD-0052,Australia,Asia Pacific,Orthopaedics,Hip Implants,ABBO Hip Pro 950,Abbott,SKU-ORT-5835,2015,Home Care,CE Marked,13659,12422,13573,14573.77,14987.57,16043.95,199063124.4,186175594.5,217764533.4,-0.090562999,0.092658187,-0.003153078,5.66,14,7,Expired,Unknown,4.9,Clean
MD-0053,Germany,Europe,Neurology,Deep Brain Stimulators,BOST Deep Pro 866,Boston Scientific,SKU-NEU-4696,2023,Home Care,Conditional Approval,24471,21794,22394,4003.66,3937.98,3979.5,97973563.86,85824336.12,89116923.0,-0.109394794,0.027530513,-0.04337885,2.4,4,10,Filed,Pending,4.9,Review
MD-0054,USA,North America,Diabetes Care,Blood Glucose Meters,INSU Blood Pro 604,Insulet Corp,SKU-DIA-4626,2020,Hospital,Under Review,46445,45794,47338,2139.67,2298.2,2306.2,99376973.15,105243770.8,109170895.6,-0.014016579,0.033716207,0.00956775,2.87,8,3,Active,Full,4.8,Clean
MD-0055,Canada,North America,Neurology,EEG Systems,INSU EEG Pro 341,Insulet Corp,SKU-NEU-7797,2020,Hospital,Under Review,40847,42221,53966,539.11,544.91,555.14,22021026.17,23006645.11,29958685.24,0.033637721,0.278179105,0.149423394,16.28,11,10,Filed,Full,3.7,Clean
MD-0056,USA,North America,Neurology,Neurostents,STRY Neurostents Pro 228,Stryker,SKU-NEU-3001,2023,Home Care,FDA Approved,43935,41538,47260,14567.85,14211.86,14306.88,640038489.8,590332240.7,676143148.8,-0.05455787,0.137753382,0.037149932,10.76,14,12,Expired,Full,4.1,Clean
MD-0057,France,Europe,Wound Care,Skin Substitutes,INTU Skin Pro 908,Intuitive Surgical,SKU-WOU-1046,2014,Ambulatory Surgery Center,CE Marked,35903,34567,32096,9932.81,9662.99,9388.9,356617677.4,334020575.3,301346134.4,-0.037211375,-0.071484364,-0.05450315,1.42,12,0,Expired,Unknown,3.3,Review
MD-0058,Canada,North America,Cardiovascular,Pacemakers,SIEM Pacemakers Pro 987,Siemens Healthineers,SKU-CAR-8344,2022,Outpatient Clinic,Conditional Approval,39406,35428,38146,14183.96,13826.1,14602.5,558933127.8,489831070.8,557026965.0,-0.100949094,0.076718979,-0.016117297,1.56,8,10,Filed,Pending,4.9,Review
MD-0059,India,Asia Pacific,Ophthalmology,IOLs,SIEM IOLs Pro 490,Siemens Healthineers,SKU-OPH-8267,2011,Hospital,PMDA Approved,40365,37004,33554,9383.55,9706.25,10175.42,378766995.8,359170075.0,341426042.7,-0.083265205,-0.093233164,-0.088262807,2.24,12,8,Filed,Pending,4.2,Clean
MD-0060,Canada,North America,Ophthalmology,Laser Systems,BECT Laser Pro 256,Becton Dickinson,SKU-OPH-8398,2013,Home Care,PMDA Approved,30220,31109,36656,4722.6,4743.27,4733.96,142716972.0,147558386.4,173528037.8,0.029417604,0.178308528,0.101349873,2.13,2,1,Licensed,Full,4.7,Clean
MD-0061,Japan,Asia Pacific,Diabetes Care,CGM Sensors,PHIL CGM Pro 394,Philips Healthcare,SKU-DIA-6400,2020,Hospital,Under Review,23673,29428,37476,6372.91,6823.75,6657.65,150865898.4,200809315.0,249502091.4,0.243103958,0.273481038,0.258200826,4.22,11,1,Filed,Unknown,4.2,Review
MD-0062,China,Asia Pacific,Wound Care,Negative Pressure Devices,EDWA Negative Pro 758,Edwards Lifesciences,SKU-WOU-7022,2011,Outpatient Clinic,Conditional Approval,15321,18588,22869,14619.47,15497.03,16078.06,223984899.9,288058793.6,367689154.1,0.213236734,0.230309877,0.221743483,12.8,5,0,Active,Unknown,3.4,Clean
MD-0063,France,Europe,Cardiovascular,Stents,HOLO Stents Pro 564,Hologic,SKU-CAR-3347,2019,Home Care,FDA Approved,9797,11594,14925,1421.78,1462.09,1478.73,13929178.66,16951471.46,22070045.25,0.183423497,0.287303778,0.234271258,6.18,10,5,Filed,Partial,3.6,Clean
MD-0064,Germany,Europe,Cardiovascular,Stents,BOST Stents Pro 216,Boston Scientific,SKU-CAR-1815,2020,Hospital,PMDA Approved,29539,33907,36231,6658.56,6658.88,7012.09,196687203.8,225782644.2,254055032.8,0.147872304,0.068540419,0.107496254,12.37,8,1,Filed,Pending,3.6,Clean
MD-0065,UK,Europe,Cardiovascular,Stents,BECT Stents Pro 540,Becton Dickinson,SKU-CAR-1897,2010,Ambulatory Surgery Center,PMDA Approved,14343,17144,20467,4377.23,4303.68,4410.03,62782609.89,73782289.92,90260084.01,0.1952869,0.193828745,0.1945576,4.53,9,6,Expired,Partial,4.1,Clean
MD-0066,Germany,Europe,Neurology,Deep Brain Stimulators,BECT Deep Pro 432,Becton Dickinson,SKU-NEU-1307,2017,Hospital,PMDA Approved,38232,39882,41157,9620.12,9637.89,9778.16,367796427.8,384378329.0,402439731.1,0.043157564,0.031969309,0.037548356,2.04,14,11,Expired,Pending,4.8,Clean
MD-0067,China,Asia Pacific,Neurology,Spinal Cord Stimulators,GE H Spinal Pro 894,GE Healthcare,SKU-NEU-2288,2016,Outpatient Clinic,PMDA Approved,15020,15018,13901,7681.73,7547.63,7744.58,115379584.6,113350307.3,107657406.6,-0.000133156,-0.074377414,-0.03797124,11.8,3,11,Filed,Unknown,4.9,Clean
MD-0068,Germany,Europe,Diagnostics,Ultrasound,STRY Ultrasound Pro 797,Stryker,SKU-DIA-3842,2019,Ambulatory Surgery Center,FDA Approved,12109,15476,17527,6986.1,7209.73,7453.0,84594684.9,111577781.5,130628731.0,0.278057643,0.132527785,0.203094257,8.71,11,2,Filed,Unknown,3.9,Clean
MD-0069,UK,Europe,Diabetes Care,CGM Sensors,EDWA CGM Pro 192,Edwards Lifesciences,SKU-DIA-9312,2011,Outpatient Clinic,Under Review,30116,26108,26523,4341.8,4519.44,4869.74,130757648.8,117993539.5,129160114.0,-0.133085403,0.015895511,-0.061546673,14.36,15,9,Licensed,Pending,4.1,Clean
MD-0070,Brazil,Latin America,Wound Care,Skin Substitutes,EDWA Skin Pro 276,Edwards Lifesciences,SKU-WOU-8792,2018,Ambulatory Surgery Center,FDA Approved,30025,26919,33772,5184.39,5436.22,5574.85,155661309.8,146337606.2,188273834.2,-0.103447127,0.25457855,0.060564002,8.19,9,11,Active,Partial,3.9,Clean
MD-0071,Japan,Asia Pacific,Orthopaedics,Spine Fixation,INSU Spine Pro 794,Insulet Corp,SKU-ORT-5634,2016,Home Care,PMDA Approved,44992,50348,60676,9727.22,9505.93,9319.57,437647082.2,478604563.6,565474229.3,0.119043385,0.205132279,0.161290362,11.99,15,4,Licensed,Unknown,4.4,Clean
MD-0072,Japan,Asia Pacific,Orthopaedics,Knee Implants,PHIL Knee Pro 932,Philips Healthcare,SKU-ORT-3317,2015,Outpatient Clinic,Under Review,8950,10004,12726,4678.25,4731.74,5001.84,41870337.5,47336326.96,63653415.84,0.117765363,0.272091164,0.19243425,9.4,1,10,Expired,Full,4.3,Clean
MD-0073,UK,Europe,Diagnostics,CT Scanners,EDWA CT Pro 639,Edwards Lifesciences,SKU-DIA-8967,2013,Ambulatory Surgery Center,CE Marked,10654,9425,11592,1562.05,1647.64,1749.57,16642080.7,15529007.0,20281015.44,-0.115355735,0.229920424,0.043092541,10.95,3,12,Active,Unknown,4.2,Clean
MD-0074,Japan,Asia Pacific,Wound Care,Skin Substitutes,DEPU Skin Pro 339,DePuy Synthes,SKU-WOU-8170,2010,Home Care,PMDA Approved,44826,52617,67682,9178.4,9662.68,10205.9,411430958.4,508421233.6,690755723.8,0.173805381,0.286314309,0.228772826,16.32,4,12,Expired,Unknown,4.6,Clean
MD-0075,Australia,Asia Pacific,Neurology,Spinal Cord Stimulators,INTU Spinal Pro 153,Intuitive Surgical,SKU-NEU-5616,2022,Home Care,Conditional Approval,35067,36413,33606,3035.48,3146.31,3354.06,106445177.2,114566586.0,112716540.4,0.038383666,-0.077087853,-0.021053169,12.95,9,8,Licensed,Unknown,4.9,Clean
MD-0076,UK,Europe,Cardiovascular,Stents,ZIMM Stents Pro 154,Zimmer Biomet,SKU-CAR-8361,2018,Ambulatory Surgery Center,Under Review,6510,8306,7890,6794.36,6851.8,6666.35,44231283.6,56911050.8,52597501.5,0.275883257,-0.050084276,0.100900344,1.93,4,3,Licensed,Unknown,3.8,Clean
MD-0077,France,Europe,Cardiovascular,Heart Valves,INTU Heart Pro 181,Intuitive Surgical,SKU-CAR-3392,2012,Hospital,PMDA Approved,31462,36597,33393,10597.77,10802.8,10484.96,333427039.7,395350071.6,350124269.3,0.163212765,-0.08754816,0.030230861,10.1,12,3,Active,Unknown,4.7,Clean
MD-0078,Canada,North America,Neurology,Deep Brain Stimulators,INTU Deep Pro 611,Intuitive Surgical,SKU-NEU-5720,2013,Outpatient Clinic,FDA Approved,3629,3474,3951,9361.02,9144.86,9712.17,33971141.58,31769243.64,38372783.67,-0.042711491,0.137305699,0.043422099,8.01,10,11,Active,Partial,3.3,Clean
MD-0079,China,Asia Pacific,Diabetes Care,Insulin Pens,BOST Insulin Pro 144,Boston Scientific,SKU-DIA-2402,2018,Outpatient Clinic,FDA Approved,34975,38291,46097,7638.96,7426.88,7917.55,267172626.0,284382662.1,364975302.4,0.094810579,0.203859915,0.148041188,6.75,2,4,Licensed,Unknown,4.5,Clean
MD-0080,China,Asia Pacific,Ophthalmology,IOLs,INTU IOLs Pro 590,Intuitive Surgical,SKU-OPH-6447,2012,Hospital,PMDA Approved,36283,36368,41432,12464.24,13029.06,14043.89,452240019.9,473840854.1,581866450.5,0.002342695,0.139243291,0.068602915,17.01,1,1,Expired,Partial,4.4,Clean
MD-0081,China,Asia Pacific,Cardiovascular,Stents,INSU Stents Pro 465,Insulet Corp,SKU-CAR-1686,2015,Outpatient Clinic,Conditional Approval,26598,34447,37697,3837.04,4039.87,4003.6,102057589.9,139161401.9,150923709.2,0.295097376,0.094347839,0.190498641,6.94,15,4,Active,Unknown,3.2,Review
